device_id,timestamp,temperature,humidity,air_quality_index,battery_level
sensor_001,2025-12-31T09:00:00Z,29.0,61,31,91
sensor_002,2025-12-31T09:00:05Z,28.7,67,34,83
sensor_003,2025-12-31T09:00:10Z,29.1,69,34,98
sensor_004,2025-12-31T09:00:15Z,29.4,66,30,93
sensor_005,2025-12-31T09:00:20Z,29.1,66,36,86
sensor_006,2025-12-31T09:00:25Z,29.0,64,39,94
sensor_007,2025-12-31T09:00:30Z,28.5,68,37,83
sensor_008,2025-12-31T09:00:35Z,28.6,61,35,81
sensor_009,2025-12-31T09:00:40Z,28.2,64,36,100
sensor_010,2025-12-31T09:00:45Z,29.0,61,45,93
sensor_011,2025-12-31T09:00:50Z,28.3,67,36,83
sensor_012,2025-12-31T09:00:55Z,28.3,68,41,93
sensor_013,2025-12-31T09:01:00Z,27.8,70,39,90
sensor_014,2025-12-31T09:01:05Z,27.5,69,47,86
sensor_015,2025-12-31T09:01:10Z,27.8,69,48,99
sensor_016,2025-12-31T09:01:15Z,28.1,64,36,99
sensor_017,2025-12-31T09:01:20Z,28.1,66,31,88
sensor_018,2025-12-31T09:01:25Z,28.7,68,33,96
sensor_019,2025-12-31T09:01:30Z,27.6,67,40,93
sensor_020,2025-12-31T09:01:35Z,27.8,62,49,100
sensor_021,2025-12-31T09:01:40Z,28.1,65,45,98
sensor_022,2025-12-31T09:01:45Z,27.9,69,36,91
sensor_023,2025-12-31T09:01:50Z,28.7,69,49,86
sensor_024,2025-12-31T09:01:55Z,28.0,62,40,86
sensor_025,2025-12-31T09:02:00Z,29.0,62,38,97
sensor_026,2025-12-31T09:02:05Z,29.1,64,42,94
sensor_027,2025-12-31T09:02:10Z,27.7,66,41,81
sensor_028,2025-12-31T09:02:15Z,29.0,65,35,88
sensor_029,2025-12-31T09:02:20Z,28.3,70,49,95
sensor_030,2025-12-31T09:02:25Z,28.1,68,43,82
sensor_031,2025-12-31T09:02:30Z,28.7,65,44,83
sensor_032,2025-12-31T09:02:35Z,29.1,62,39,95
sensor_033,2025-12-31T09:02:40Z,29.0,67,44,98
sensor_034,2025-12-31T09:02:45Z,28.3,70,34,83
sensor_035,2025-12-31T09:02:50Z,27.6,66,33,88
sensor_036,2025-12-31T09:02:55Z,28.1,66,38,83
sensor_037,2025-12-31T09:03:00Z,28.1,67,35,95
sensor_038,2025-12-31T09:03:05Z,28.5,67,39,97
sensor_039,2025-12-31T09:03:10Z,28.2,62,31,98
sensor_040,2025-12-31T09:03:15Z,27.8,60,49,88
sensor_041,2025-12-31T09:03:20Z,28.3,69,43,91
sensor_042,2025-12-31T09:03:25Z,28.7,65,44,86
sensor_043,2025-12-31T09:03:30Z,28.3,69,46,94
sensor_044,2025-12-31T09:03:35Z,27.6,70,36,82
sensor_045,2025-12-31T09:03:40Z,28.2,66,34,91
sensor_046,2025-12-31T09:03:45Z,28.8,70,33,80
sensor_047,2025-12-31T09:03:50Z,28.6,68,50,99
sensor_048,2025-12-31T09:03:55Z,28.8,70,34,90
sensor_049,2025-12-31T09:04:00Z,28.0,67,47,97
sensor_050,2025-12-31T09:04:05Z,28.8,69,35,86
sensor_001,2025-12-31T09:04:10Z,28.5,69,35,91
sensor_002,2025-12-31T09:04:15Z,27.8,68,48,96
sensor_003,2025-12-31T09:04:20Z,28.6,64,38,87
sensor_004,2025-12-31T09:04:25Z,29.1,62,46,86
sensor_005,2025-12-31T09:04:30Z,28.5,68,44,86
sensor_006,2025-12-31T09:04:35Z,29.1,61,47,97
sensor_007,2025-12-31T09:04:40Z,28.2,70,45,99
sensor_008,2025-12-31T09:04:45Z,28.3,65,44,100
sensor_009,2025-12-31T09:04:50Z,28.1,68,40,94
sensor_010,2025-12-31T09:04:55Z,29.2,67,34,94
sensor_011,2025-12-31T09:05:00Z,28.1,70,41,88
sensor_012,2025-12-31T09:05:05Z,28.2,68,40,97
sensor_013,2025-12-31T09:05:10Z,28.1,60,37,93
sensor_014,2025-12-31T09:05:15Z,29.2,66,46,85
sensor_015,2025-12-31T09:05:20Z,28.9,68,46,99
sensor_016,2025-12-31T09:05:25Z,28.1,61,48,97
sensor_017,2025-12-31T09:05:30Z,29.5,60,48,93
sensor_018,2025-12-31T09:05:35Z,29.2,64,47,84
sensor_019,2025-12-31T09:05:40Z,28.1,62,30,97
sensor_020,2025-12-31T09:05:45Z,28.7,60,50,98
sensor_021,2025-12-31T09:05:50Z,27.7,68,49,96
sensor_022,2025-12-31T09:05:55Z,27.9,70,47,81
sensor_023,2025-12-31T09:06:00Z,27.8,65,32,85
sensor_024,2025-12-31T09:06:05Z,29.0,70,40,97
sensor_025,2025-12-31T09:06:10Z,28.1,70,46,87
sensor_026,2025-12-31T09:06:15Z,29.4,62,38,81
sensor_027,2025-12-31T09:06:20Z,29.5,63,40,84
sensor_028,2025-12-31T09:06:25Z,29.4,63,45,91
sensor_029,2025-12-31T09:06:30Z,28.3,66,44,80
sensor_030,2025-12-31T09:06:35Z,28.7,67,33,86
sensor_031,2025-12-31T09:06:40Z,27.9,60,32,97
sensor_032,2025-12-31T09:06:45Z,28.0,63,34,91
sensor_033,2025-12-31T09:06:50Z,28.8,70,38,83
sensor_034,2025-12-31T09:06:55Z,27.5,60,45,85
sensor_035,2025-12-31T09:07:00Z,28.0,63,49,91
sensor_036,2025-12-31T09:07:05Z,28.8,67,38,85
sensor_037,2025-12-31T09:07:10Z,28.3,64,41,88
sensor_038,2025-12-31T09:07:15Z,28.6,60,44,97
sensor_039,2025-12-31T09:07:20Z,29.1,63,30,95
sensor_040,2025-12-31T09:07:25Z,28.2,70,32,94
sensor_041,2025-12-31T09:07:30Z,28.8,67,35,96
sensor_042,2025-12-31T09:07:35Z,28.4,62,34,100
sensor_043,2025-12-31T09:07:40Z,28.8,61,44,97
sensor_044,2025-12-31T09:07:45Z,27.8,64,39,92
sensor_045,2025-12-31T09:07:50Z,29.0,66,42,88
sensor_046,2025-12-31T09:07:55Z,27.7,66,44,83
sensor_047,2025-12-31T09:08:00Z,28.7,61,31,84
sensor_048,2025-12-31T09:08:05Z,29.4,67,41,82
sensor_049,2025-12-31T09:08:10Z,28.4,70,47,98
sensor_050,2025-12-31T09:08:15Z,27.5,70,33,80
