device_id,timestamp,temperature_mode,humidity
sensor_001,2025-12-31T09:00:00Z,84.9_F,61
sensor_002,2025-12-31T09:00:05Z,28.9_C,68
sensor_003,2025-12-31T09:00:10Z,27.9_C,64
sensor_004,2025-12-31T09:00:15Z,301.0_K,62
sensor_005,2025-12-31T09:00:20Z,27.8_C,65
sensor_006,2025-12-31T09:00:25Z,28.0_C,66
sensor_007,2025-12-31T09:00:30Z,84.0_F,64
sensor_008,2025-12-31T09:00:35Z,28.3_C,64
sensor_009,2025-12-31T09:00:40Z,301.8_K,67
sensor_010,2025-12-31T09:00:45Z,301.4_K,66
sensor_011,2025-12-31T09:00:50Z,28.1_C,60
sensor_012,2025-12-31T09:00:55Z,28.3_C,63
sensor_013,2025-12-31T09:01:00Z,301.0_K,68
sensor_014,2025-12-31T09:01:05Z,301.6_K,63
sensor_015,2025-12-31T09:01:10Z,28.5_C,69
sensor_016,2025-12-31T09:01:15Z,300.8_K,69
sensor_017,2025-12-31T09:01:20Z,302.2_K,67
sensor_018,2025-12-31T09:01:25Z,84.7_F,67
sensor_019,2025-12-31T09:01:30Z,29.3_C,63
sensor_020,2025-12-31T09:01:35Z,301.3_K,70
sensor_021,2025-12-31T09:01:40Z,84.4_F,70
sensor_022,2025-12-31T09:01:45Z,301.0_K,67
sensor_023,2025-12-31T09:01:50Z,302.6_K,69
sensor_024,2025-12-31T09:01:55Z,301.5_K,61
sensor_025,2025-12-31T09:02:00Z,28.7_C,67
sensor_026,2025-12-31T09:02:05Z,82.4_F,60
sensor_027,2025-12-31T09:02:10Z,302.3_K,67
sensor_028,2025-12-31T09:02:15Z,83.3_F,70
sensor_029,2025-12-31T09:02:20Z,84.2_F,64
sensor_030,2025-12-31T09:02:25Z,84.6_F,66
sensor_031,2025-12-31T09:02:30Z,82.6_F,64
sensor_032,2025-12-31T09:02:35Z,82.8_F,68
sensor_033,2025-12-31T09:02:40Z,28.5_C,63
sensor_034,2025-12-31T09:02:45Z,29.5_C,60
sensor_035,2025-12-31T09:02:50Z,29.4_C,64
sensor_036,2025-12-31T09:02:55Z,28.4_C,63
sensor_037,2025-12-31T09:03:00Z,84.4_F,67
sensor_038,2025-12-31T09:03:05Z,300.8_K,67
sensor_039,2025-12-31T09:03:10Z,83.8_F,64
sensor_040,2025-12-31T09:03:15Z,301.6_K,60
sensor_041,2025-12-31T09:03:20Z,84.7_F,69
sensor_042,2025-12-31T09:03:25Z,300.8_K,61
sensor_043,2025-12-31T09:03:30Z,301.2_K,70
sensor_044,2025-12-31T09:03:35Z,84.9_F,62
sensor_045,2025-12-31T09:03:40Z,300.8_K,60
sensor_046,2025-12-31T09:03:45Z,301.1_K,60
sensor_047,2025-12-31T09:03:50Z,83.7_F,70
sensor_048,2025-12-31T09:03:55Z,28.0_C,64
sensor_049,2025-12-31T09:04:00Z,28.3_C,70
sensor_050,2025-12-31T09:04:05Z,28.0_C,66
sensor_001,2025-12-31T09:04:10Z,301.2_K,70
sensor_002,2025-12-31T09:04:15Z,300.8_K,69
sensor_003,2025-12-31T09:04:20Z,27.6_C,70
sensor_004,2025-12-31T09:04:25Z,81.7_F,64
sensor_005,2025-12-31T09:04:30Z,84.9_F,65
sensor_006,2025-12-31T09:04:35Z,84.2_F,62
sensor_007,2025-12-31T09:04:40Z,81.7_F,68
sensor_008,2025-12-31T09:04:45Z,302.4_K,60
sensor_009,2025-12-31T09:04:50Z,301.4_K,61
sensor_010,2025-12-31T09:04:55Z,302.6_K,68
sensor_011,2025-12-31T09:05:00Z,82.6_F,70
sensor_012,2025-12-31T09:05:05Z,301.0_K,68
sensor_013,2025-12-31T09:05:10Z,84.7_F,69
sensor_014,2025-12-31T09:05:15Z,302.2_K,64
sensor_015,2025-12-31T09:05:20Z,300.8_K,63
sensor_016,2025-12-31T09:05:25Z,81.9_F,68
sensor_017,2025-12-31T09:05:30Z,29.1_C,61
sensor_018,2025-12-31T09:05:35Z,84.4_F,60
sensor_019,2025-12-31T09:05:40Z,301.4_K,67
sensor_020,2025-12-31T09:05:45Z,302.1_K,62
sensor_021,2025-12-31T09:05:50Z,28.0_C,60
sensor_022,2025-12-31T09:05:55Z,83.7_F,65
sensor_023,2025-12-31T09:06:00Z,84.0_F,69
sensor_024,2025-12-31T09:06:05Z,302.3_K,65
sensor_025,2025-12-31T09:06:10Z,28.6_C,65
sensor_026,2025-12-31T09:06:15Z,84.9_F,68
sensor_027,2025-12-31T09:06:20Z,301.5_K,68
sensor_028,2025-12-31T09:06:25Z,27.8_C,66
sensor_029,2025-12-31T09:06:30Z,84.9_F,61
sensor_030,2025-12-31T09:06:35Z,81.9_F,69
sensor_031,2025-12-31T09:06:40Z,28.5_C,64
sensor_032,2025-12-31T09:06:45Z,302.5_K,62
sensor_033,2025-12-31T09:06:50Z,302.0_K,67
sensor_034,2025-12-31T09:06:55Z,300.9_K,65
sensor_035,2025-12-31T09:07:00Z,301.1_K,66
sensor_036,2025-12-31T09:07:05Z,28.4_C,63
sensor_037,2025-12-31T09:07:10Z,302.6_K,61
sensor_038,2025-12-31T09:07:15Z,82.0_F,66
sensor_039,2025-12-31T09:07:20Z,81.9_F,68
sensor_040,2025-12-31T09:07:25Z,302.2_K,66
sensor_041,2025-12-31T09:07:30Z,81.7_F,69
sensor_042,2025-12-31T09:07:35Z,28.2_C,65
sensor_043,2025-12-31T09:07:40Z,302.3_K,66
sensor_044,2025-12-31T09:07:45Z,84.7_F,64
sensor_045,2025-12-31T09:07:50Z,82.6_F,70
sensor_046,2025-12-31T09:07:55Z,84.4_F,70
sensor_047,2025-12-31T09:08:00Z,27.8_C,60
sensor_048,2025-12-31T09:08:05Z,28.5_C,65
sensor_049,2025-12-31T09:08:10Z,29.0_C,66
sensor_050,2025-12-31T09:08:15Z,83.8_F,69
