device_id,timestamp,temperature,humidity,prediction,confidence
sensor_001,2025-12-31T09:00:00Z,28.7,64,anomaly,0.11
sensor_002,2025-12-31T09:00:05Z,28.6,70,normal,0.28
sensor_003,2025-12-31T09:00:10Z,28.8,68,anomaly,0.29
sensor_004,2025-12-31T09:00:15Z,29.1,64,normal,0.95
sensor_005,2025-12-31T09:00:20Z,28.5,64,anomaly,0.47
sensor_006,2025-12-31T09:00:25Z,28.1,70,normal,0.14
sensor_007,2025-12-31T09:00:30Z,28.4,61,normal,0.76
sensor_008,2025-12-31T09:00:35Z,28.3,63,anomaly,0.86
sensor_009,2025-12-31T09:00:40Z,28.8,61,normal,0.34
sensor_010,2025-12-31T09:00:45Z,28.1,61,anomaly,0.62
sensor_011,2025-12-31T09:00:50Z,27.5,69,anomaly,0.65
sensor_012,2025-12-31T09:00:55Z,28.1,69,normal,0.65
sensor_013,2025-12-31T09:01:00Z,28.6,68,anomaly,0.86
sensor_014,2025-12-31T09:01:05Z,29.0,62,anomaly,0.26
sensor_015,2025-12-31T09:01:10Z,28.6,63,normal,0.93
sensor_016,2025-12-31T09:01:15Z,28.2,63,normal,0.28
sensor_017,2025-12-31T09:01:20Z,28.1,66,normal,0.67
sensor_018,2025-12-31T09:01:25Z,29.5,65,anomaly,0.77
sensor_019,2025-12-31T09:01:30Z,28.6,65,anomaly,0.94
sensor_020,2025-12-31T09:01:35Z,29.1,70,anomaly,0.26
sensor_021,2025-12-31T09:01:40Z,28.2,66,anomaly,0.51
sensor_022,2025-12-31T09:01:45Z,27.8,61,anomaly,0.92
sensor_023,2025-12-31T09:01:50Z,29.4,65,normal,0.4
sensor_024,2025-12-31T09:01:55Z,28.2,62,normal,0.6
sensor_025,2025-12-31T09:02:00Z,29.0,64,normal,0.92
sensor_026,2025-12-31T09:02:05Z,28.2,66,normal,0.43
sensor_027,2025-12-31T09:02:10Z,28.7,60,normal,0.11
sensor_028,2025-12-31T09:02:15Z,28.5,64,normal,0.78
sensor_029,2025-12-31T09:02:20Z,28.5,65,normal,0.34
sensor_030,2025-12-31T09:02:25Z,27.9,62,normal,0.14
sensor_031,2025-12-31T09:02:30Z,29.1,64,anomaly,0.44
sensor_032,2025-12-31T09:02:35Z,28.6,61,anomaly,0.54
sensor_033,2025-12-31T09:02:40Z,29.4,69,normal,0.48
sensor_034,2025-12-31T09:02:45Z,28.0,65,anomaly,0.74
sensor_035,2025-12-31T09:02:50Z,29.1,63,anomaly,0.47
sensor_036,2025-12-31T09:02:55Z,29.3,67,anomaly,0.8
sensor_037,2025-12-31T09:03:00Z,29.1,70,anomaly,0.67
sensor_038,2025-12-31T09:03:05Z,27.8,60,normal,0.35
sensor_039,2025-12-31T09:03:10Z,28.3,69,anomaly,0.95
sensor_040,2025-12-31T09:03:15Z,27.9,65,anomaly,0.3
sensor_041,2025-12-31T09:03:20Z,28.0,70,anomaly,0.79
sensor_042,2025-12-31T09:03:25Z,29.0,64,anomaly,0.68
sensor_043,2025-12-31T09:03:30Z,29.4,65,normal,0.75
sensor_044,2025-12-31T09:03:35Z,29.3,69,normal,0.86
sensor_045,2025-12-31T09:03:40Z,29.0,61,normal,0.79
sensor_046,2025-12-31T09:03:45Z,27.5,69,normal,0.98
sensor_047,2025-12-31T09:03:50Z,28.7,60,normal,0.31
sensor_048,2025-12-31T09:03:55Z,27.6,64,normal,0.74
sensor_049,2025-12-31T09:04:00Z,29.2,68,normal,0.91
sensor_050,2025-12-31T09:04:05Z,28.5,70,normal,0.45
sensor_001,2025-12-31T09:04:10Z,28.9,62,normal,0.4
sensor_002,2025-12-31T09:04:15Z,28.5,63,normal,0.28
sensor_003,2025-12-31T09:04:20Z,28.2,63,anomaly,0.55
sensor_004,2025-12-31T09:04:25Z,27.5,63,anomaly,0.82
sensor_005,2025-12-31T09:04:30Z,28.7,61,normal,0.13
sensor_006,2025-12-31T09:04:35Z,28.4,60,anomaly,0.97
sensor_007,2025-12-31T09:04:40Z,28.9,69,normal,0.53
sensor_008,2025-12-31T09:04:45Z,28.6,65,anomaly,0.7
sensor_009,2025-12-31T09:04:50Z,28.4,62,anomaly,0.1
sensor_010,2025-12-31T09:04:55Z,28.7,66,anomaly,0.31
sensor_011,2025-12-31T09:05:00Z,28.1,67,normal,0.48
sensor_012,2025-12-31T09:05:05Z,28.8,66,normal,0.14
sensor_013,2025-12-31T09:05:10Z,28.4,61,anomaly,0.57
sensor_014,2025-12-31T09:05:15Z,27.7,64,anomaly,0.38
sensor_015,2025-12-31T09:05:20Z,29.3,70,normal,0.72
sensor_016,2025-12-31T09:05:25Z,29.0,67,anomaly,0.45
sensor_017,2025-12-31T09:05:30Z,29.0,60,anomaly,0.29
sensor_018,2025-12-31T09:05:35Z,28.9,60,anomaly,0.34
sensor_019,2025-12-31T09:05:40Z,28.2,61,anomaly,0.16
sensor_020,2025-12-31T09:05:45Z,29.3,63,normal,0.97
sensor_021,2025-12-31T09:05:50Z,28.7,61,anomaly,0.82
sensor_022,2025-12-31T09:05:55Z,28.4,61,normal,0.66
sensor_023,2025-12-31T09:06:00Z,29.1,66,anomaly,0.84
sensor_024,2025-12-31T09:06:05Z,28.0,61,anomaly,0.51
sensor_025,2025-12-31T09:06:10Z,27.8,67,normal,0.52
sensor_026,2025-12-31T09:06:15Z,29.4,70,anomaly,0.2
sensor_027,2025-12-31T09:06:20Z,28.0,68,normal,0.57
sensor_028,2025-12-31T09:06:25Z,29.0,64,normal,0.51
sensor_029,2025-12-31T09:06:30Z,28.5,60,normal,0.73
sensor_030,2025-12-31T09:06:35Z,28.7,67,anomaly,0.47
sensor_031,2025-12-31T09:06:40Z,28.1,61,anomaly,0.6
sensor_032,2025-12-31T09:06:45Z,27.6,60,normal,0.47
sensor_033,2025-12-31T09:06:50Z,29.4,64,anomaly,0.89
sensor_034,2025-12-31T09:06:55Z,28.5,66,normal,0.58
sensor_035,2025-12-31T09:07:00Z,28.0,64,normal,0.18
sensor_036,2025-12-31T09:07:05Z,29.5,66,normal,0.24
sensor_037,2025-12-31T09:07:10Z,29.3,61,anomaly,0.59
sensor_038,2025-12-31T09:07:15Z,29.5,64,normal,0.93
sensor_039,2025-12-31T09:07:20Z,28.9,63,normal,0.27
sensor_040,2025-12-31T09:07:25Z,27.7,68,anomaly,0.69
sensor_041,2025-12-31T09:07:30Z,29.0,61,anomaly,0.92
sensor_042,2025-12-31T09:07:35Z,28.0,69,normal,0.84
sensor_043,2025-12-31T09:07:40Z,28.8,62,normal,0.38
sensor_044,2025-12-31T09:07:45Z,27.7,66,anomaly,0.62
sensor_045,2025-12-31T09:07:50Z,29.5,70,anomaly,0.82
